Name	Fl	Inventory	Index	BirthCountry	WorkCountry	Ethnicity	Woman
Abelard, Pierre	1119	Philosophy	3.73	France	France	French	0
Adam de la Halle	1284	Music	4.12	France	France	French	0
Adam of St. Victor	1140	Literature	2.31	France	France	French	0
Adam von Fulda	1485	Music	1.00	Germany	Germany	Germanic	0
Adam, Adolphe	1843	Music	2.73	France	France	Jewish	0
Adam, Robert	1768	Art	11.00	Britain	Britain	Scots	0
Addison, Joseph	1712	Literature	9.84	Britain	Britain	English	0
Ady, Endre	1917	Literature	3.24	Hungary	Hungary	Hungarian	0
Aenesidemos	-50	Philosophy	1.25	Ancient Greece	Ancient Greece	Ancient Greek	0
Aertsen, Pieter	1548	Art	2.62	Netherlands	Netherlands	Dutch	0
Aeschylus  	-485	Literature	26.42	Ancient Greece	Ancient Greece	Ancient Greek	0
Aesop 	-550	Literature	7.19	Ancient Greece	Ancient Greece	Ancient Greek	0
Agazzari, Agostino	1618	Music	1.00	Italy	Italy	Italian	0
Agricola, Alexander	1486	Music	2.02	Belgium	France	Flemish	0
Akhmatova, Anna	1929	Literature	4.73	Russia	Russia	Slavic	1
Aksakov, Sergey	1831	Literature	2.91	Russia	Russia	Slavic	0
Alain-Fournier (Fournier)	1914	Literature	2.10	France	France	French	0
Alarcón, Pedro de	1873	Literature	5.61	Spain	Spain	Spanish	0
Albani, Francesco	1618	Art	1.43	Italy	Italy	Italian	0
Albéniz, Isaac	1900	Music	3.62	Spain	Spain	Spanish	0
Albert, Heinrich	1644	Music	1.56	Germany	Germany	Germanic	0
Alberti, Domenico	1740	Music	1.00	Italy	Italy	Italian	0
Alberti, Rafael	1942	Literature	2.74	Spain	Spain	Spanish	0
Albertus Magnus, St.	1240	Philosophy	4.47	Germany	Germany	Germanic	0
Albinoni, Tommaso	1711	Music	2.73	Italy	Italy	Italian	0
Alcman of Sardes	-650	Literature	2.49	Ancient Greece	Ancient Greece	Ancient Greek	0
Alcuin	775	Literature	3.42	Britain	Britain	English	0
Alemán, Mateo	1587	Literature	4.74	Spain	Spain	Spanish	0
Alexander of Hales	1240	Philosophy	0.74	Britain	Britain	English	0
Alfano, Franco	1915	Music	1.43	Italy	Italy	Italian	0
Alfieri, Vittorio	1789	Literature	11.23	Italy	Italy	Italian	0
Alfonso X of Castile	1261	Music	1.43	Spain	Spain	Spanish	0
Algardi, Alessandro	1629	Art	3.32	Italy	Italy	Italian	0
Almquist, Carl	1833	Literature	3.91	Sweden	Sweden	Swedish	0
Altdorfer, Albrecht	1520	Art	13.09	Germany	Germany	Germanic	0
Altichiero da Zevio	1380	Art	3.50	Italy	Italy	Italian	0
